rooms,locationId,multimedia,price,status,size,address,bathrooms,url,district
1,0-EU-ES-28-07-001-079-04-004,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/9d/9e/97/1213367272.webp', 'tag': 'livingRoom'}], 'videos': [{'url': 'https://st3v.idealista.com/f7/16/10/1213367989.mp4', 'thumbnail': 'https://st3v.idealista.com/f7/16/10/d_0_1213367989.jpg', 'multimediaId': 1213367989, 'hasExternalVideoPlayer': False}]}",1100.0,good,40.0,calle del Conde de Vilches,1,https://www.idealista.com/inmueble/104218609/,salamanca
1,0-EU-ES-28-07-001-079-04-006,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/37/df/d2/1299081079.webp', 'tag': 'livingRoom'}]}",1100.0,good,45.0,"calle Velázquez, 115",1,https://www.idealista.com/inmueble/494215/,salamanca
0,0-EU-ES-28-07-001-079-04-001,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/57/ff/11/1302926022.webp', 'tag': 'bedroom'}], 'videos': [{'url': 'https://st3v.idealista.com/93/e4/f4/1134518240.mp4', 'thumbnail': 'https://st3v.idealista.com/93/e4/f4/d_0_1134518240.jpg', 'multimediaId': 1134518240, 'hasExternalVideoPlayer': False}]}",1100.0,good,33.0,LAGASCA,1,https://www.idealista.com/inmueble/90484648/,salamanca
0,0-EU-ES-28-07-001-079-04-004,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/b2/46/cd/1301453553.webp', 'tag': 'unknown'}]}",1100.0,good,45.0,calle de Eraso,1,https://www.idealista.com/inmueble/107049581/,salamanca
1,0-EU-ES-28-07-001-079-04-005,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/3d/6f/68/1304541388.webp', 'tag': 'livingRoom'}]}",1100.0,good,46.0,calle de Alcántara,1,https://www.idealista.com/inmueble/107151624/,salamanca
1,0-EU-ES-28-07-001-079-04-003,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/97/d8/54/1295480760.webp', 'tag': 'room'}]}",1100.0,good,50.0,calle de Sancho Dávila,1,https://www.idealista.com/inmueble/106838614/,salamanca
0,0-EU-ES-28-07-001-079-04-006,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/91/40/61/844809753.webp', 'tag': 'livingRoom'}]}",1100.0,good,40.0,"calle de Núñez de Balboa, 114",1,https://www.idealista.com/inmueble/92648103/,salamanca
0,0-EU-ES-28-07-001-079-04-005,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/e4/1f/c5/1291163701.webp', 'tag': 'bathroom'}]}",1100.0,good,40.0,calle de Montesa no number,1,https://www.idealista.com/inmueble/106693277/,salamanca
0,0-EU-ES-28-07-001-079-04-004,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/19/d1/84/1275047127.webp', 'tag': 'livingRoom'}]}",1100.0,good,45.0,"calle de Juan de la Hoz, 3",1,https://www.idealista.com/inmueble/106183213/,salamanca
1,0-EU-ES-28-07-001-079-04-004,{},1100.0,good,42.0,"calle de Juan de la Hoz, 6",1,https://www.idealista.com/inmueble/107131529/,salamanca
1,0-EU-ES-28-07-001-079-04-005,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/eb/13/a1/1303456889.webp', 'tag': 'terrace'}], 'videos': [{'url': 'https://st3v.idealista.com/51/68/95/1303456888.mp4', 'thumbnail': 'https://st3v.idealista.com/51/68/95/d_0_1303456888.jpg', 'multimediaId': 1303456888, 'hasExternalVideoPlayer': False}]}",1100.0,good,50.0,"pasaje Montesa, 8",1,https://www.idealista.com/inmueble/107116099/,salamanca
1,0-EU-ES-28-07-001-079-04-004,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/93/af/27/1305982856.webp', 'tag': 'livingRoom'}]}",1150.0,good,40.0,"calle de Béjar, 12",1,https://www.idealista.com/inmueble/107200787/,salamanca
0,0-EU-ES-28-07-001-079-04-001,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/63/f8/ef/1276204005.webp', 'tag': 'unknown'}], 'videos': [{'url': 'https://st3v.idealista.com/07/30/04/1276204037.mp4', 'thumbnail': 'https://st3v.idealista.com/07/30/04/d_0_1276204037.jpg', 'multimediaId': 1276204037, 'hasExternalVideoPlayer': False}]}",1150.0,good,35.0,calle de Ayala,1,https://www.idealista.com/inmueble/106218687/,salamanca
0,0-EU-ES-28-07-001-079-04-002,{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/80/4a/2b/1302490761.webp'}]},1150.0,good,20.0,calle de Goya,1,https://www.idealista.com/inmueble/107084180/,salamanca
